t,Σώμα_D,Σώμα_E,Σώμα_F,STATE
0,y,y,y,
"0,2","483,37","543,93","606,46",
"0,4","477,27","537,83","600,36",
"0,6","471,17","531,73","594,26",
"0,8","465,07","525,63","588,16",
1,"458,97","519,53","582,06",
"1,2","452,87","513,43","575,96",
"1,4","446,77","507,33","569,86",
"1,6","440,67","501,23","563,76",
"1,8","434,57","495,13","557,66",
2,"428,47","489,03","551,56",
"2,2","422,37","482,93","545,46",
"2,4","416,27","476,83","539,36",
"2,6","410,17","470,73","533,26",
"2,8","404,07","464,63","527,16",
3,"397,97","458,53","521,06",
"3,2","391,87","452,43","514,96",
"3,4","385,77","446,33","508,86",
"3,6","379,67","440,23","502,76",
"3,8","373,57","434,13","496,66",
4,"367,47","428,03","490,56",
"4,2","361,37","421,93","484,46",
"4,4","355,27","415,83","478,36",
"4,6","349,17","409,73","472,26",
"4,8","343,07","403,63","466,16",
5,"336,97","397,53","460,06",
"5,2","330,87","391,43","453,96",
"5,4","324,77","385,33","447,86",
"5,6","318,67","379,23","441,76",
"5,8","312,57","373,13","435,66",
6,"306,47","367,03","429,56",
"6,2","300,37","360,93","423,46",
"6,4","294,27","354,83","417,36",
"6,6","288,17","348,73","411,26",
"6,8","282,07","342,63","405,16",
7,"275,97","336,53","399,06",
"7,2","269,87","330,43","392,96",
"7,4","263,77","324,33","386,86",
"7,6","255,05","318,23","380,76",
"7,8","240,88","312,13","374,66",
8,"234,34","306,03","368,56",
"8,2","227,80","299,93","362,46",
"8,4","221,26","293,83","356,36",
"8,6","204,91","287,73","350,26",
"8,8","198,37","281,63","344,16",
9,"191,83","275,53","338,06",
"9,2","187,47","269,43","331,96",
"9,4","176,57","263,33","325,86",
"9,6","165,67","257,23","319,76",
"9,8","163,49","250,69","313,66",
10,"156,95","246,33","307,56",
"10,2","143,87","235,43","301,46",
"10,4","139,51","226,71","295,36",
"10,6","129,70","224,53","289,26",
"10,8","126,43","213,63","283,16",
11,"119,89","204,91","277,06",
"11,2","115,53","197,28","270,96",
"11,4","111,17","188,56","264,86",
"11,6","103,54","177,66","259,41",
"11,8","101,37","174,39","249,60",
12,"87,20","167,85","240,88",
"12,2","87,20","155,86","229,98",
"12,4","78,48","143,87","217,99",
"12,6","66,49","139,51","210,36",
"12,8","56,68","132,97","204,91",
13,"61,04","128,61","203,82",
"13,2","45,78","127,52","199,46",
"13,4","35,97","119,89","180,93",
"13,6","29,43","113,35","172,21",
"13,8","14,17","104,63","159,13",
14,"8,72","99,19","158,04",
"14,2","0,00","93,74","148,23",
"14,4","16,35","90,47","147,14",
"14,6","9,81","85,02","147,14",
"14,8","7,63","79,57","139,51",
15,"5,45","76,30","127,52",
"15,2","-1,09","74,12","119,89",
"15,4","2,18","68,67","115,53",
"15,6","-3,27","64,31","106,81",
"15,8","-7,63","57,77","101,37",
16,"-7,63","53,41","99,19",
"16,2","-10,90","46,87","94,83",
"16,4","-17,44","39,24","92,65",
"16,6","-18,53","29,43","83,93",
"16,8","-19,62","23,98","77,39",
17,"-20,71","22,89","76,30",
"17,2","-20,71","18,53","76,30",
"17,4","-27,25","16,35","70,85",
"17,6","-27,25","14,17","62,13",S
"17,8","-28,34","11,99","58,86",M
18,"-29,43","8,72","56,68",M
"18,2","-32,70","7,63","54,50",M
"18,4","-32,70","5,45","53,41",M
"18,6","-32,70","4,36","50,14",M
"18,8","-32,70","0,00","44,69",M
19,"-32,70","-1,09","41,42",M
"19,2","-32,70","-4,36","40,33",M
"19,4","-32,70","-8,72","40,33",M
"19,6","-32,70","-11,99","40,33",M
"19,8","-32,70","-11,99","38,15",M
20,"-34,88","-11,99","37,06",M
"20,2","-34,88","-11,99","37,06",M
"20,4","-34,88","-11,99","35,97",M
"20,6","-34,88","-11,99","34,88",M
"20,8","-34,88","-11,99","30,52",M
21,"-34,88","-11,99","25,07",M
"21,2","-34,88","-13,08","25,07",M
"21,4","-34,88","-13,08","25,07",M
"21,6","-34,88","-14,17","25,07",F
"21,8","-34,88","-14,17","25,07",
22,"-34,88","-15,26","25,07",
"22,2","-34,88","-16,35","25,07",
"22,4","-34,88","-16,35","25,07",
"22,6","-34,88","-17,44","25,07",
"22,8","-34,88","-17,44","25,07",
23,"-34,88","-17,44","26,16",
"23,2","-34,88","-18,53","26,16",
"23,4","-34,88","-18,53","26,16",
"23,6","-34,88","-19,62","26,16",
"23,8","-34,88","-18,53","26,16",
24,"-34,88","-15,26","26,16",
"24,2","-34,88","-15,26","26,16",
"24,4","-34,88","-15,26","26,16",
"24,6","-34,88","-15,26","26,16",
"24,8","-34,88","-14,17","26,16",
25,"-34,88","-14,17","26,16",
"25,2","-38,15","-14,17","26,16",
"25,4","-46,87","-14,17","26,16",
"25,6","-53,41","-14,17","25,07",
"25,8","-55,59","-14,17","20,71",
26,"-55,59","-14,17","23,98",
"26,2","-57,77","-14,17","23,98",
"26,4","-58,86","-14,17","23,98",
"26,6","-61,04","-14,17","23,98",
"26,8","-61,04","-14,17","23,98",
27,"-66,49","-14,17","23,98",
"27,2","-67,58","-14,17","23,98",
"27,4","-76,30","-14,17","23,98",
"27,6","-77,39","-18,53","23,98",
"27,8","-88,29","-18,53","21,80",
